  0.0,-5760355.886, 1454558.264, -2312418.977
  0.1,-5760355.788, 1454558.508, -2312419.067
  0.2,-5760355.690, 1454558.751, -2312419.158
  0.3,-5760355.591, 1454558.995, -2312419.249
  0.4,-5760355.493, 1454559.239, -2312419.339
  0.5,-5760355.395, 1454559.482, -2312419.430
  0.6,-5760355.297, 1454559.726, -2312419.521
  0.7,-5760355.199, 1454559.970, -2312419.612
  0.8,-5760355.100, 1454560.213, -2312419.702
  0.9,-5760355.002, 1454560.457, -2312419.793
  1.0,-5760354.904, 1454560.701, -2312419.884
  1.1,-5760354.806, 1454560.944, -2312419.975
  1.2,-5760354.708, 1454561.188, -2312420.065
  1.3,-5760354.609, 1454561.432, -2312420.156
  1.4,-5760354.511, 1454561.675, -2312420.247
  1.5,-5760358.927, 1454563.059, -2312422.162
  1.6,-5760358.829, 1454563.302, -2312422.252
  1.7,-5760358.730, 1454563.546, -2312422.343
  1.8,-5760358.632, 1454563.790, -2312422.434
  1.9,-5760358.534, 1454564.033, -2312422.525
  2.0,-5760358.436, 1454564.277, -2312422.615
  2.1,-5760362.851, 1454565.660, -2312424.530
  2.2,-5760362.753, 1454565.904, -2312424.621
  2.3,-5760362.655, 1454566.148, -2312424.712
  2.4,-5760362.557, 1454566.391, -2312424.802
  2.5,-5760362.459, 1454566.635, -2312424.893
  2.6,-5760362.368, 1454566.888, -2312424.959
  2.7,-5760362.286, 1454567.150, -2312424.998
  2.8,-5760362.204, 1454567.413, -2312425.037
  2.9,-5760362.121, 1454567.680, -2312425.077
  3.0,-5760362.034, 1454567.956, -2312425.117
  3.1,-5760361.948, 1454568.232, -2312425.158
  3.2,-5760361.862, 1454568.507, -2312425.199
  3.3,-5760361.776, 1454568.783, -2312425.240
  3.4,-5760361.690, 1454569.059, -2312425.281
  3.5,-5760361.603, 1454569.337, -2312425.322
  3.6,-5760361.513, 1454569.626, -2312425.365
  3.7,-5760361.422, 1454569.915, -2312425.408
  3.8,-5760361.332, 1454570.204, -2312425.451
  3.9,-5760361.242, 1454570.493, -2312425.493
  4.0,-5760361.152, 1454570.782, -2312425.536
  4.1,-5760361.061, 1454571.070, -2312425.579
  4.2,-5760360.971, 1454571.359, -2312425.622
  4.3,-5760360.881, 1454571.648, -2312425.665
  4.4,-5760360.791, 1454571.937, -2312425.708
  4.5,-5760360.694, 1454572.220, -2312425.769
  4.6,-5760360.592, 1454572.497, -2312425.848
  4.7,-5760360.491, 1454572.775, -2312425.926
  4.8,-5760360.389, 1454573.052, -2312426.005
  4.9,-5760360.267, 1454573.382, -2312426.099
  5.0,-5760360.142, 1454573.723, -2312426.195
  5.1,-5760360.018, 1454574.063, -2312426.292
  5.2,-5760359.886, 1454574.422, -2312426.394
  5.3,-5760359.747, 1454574.800, -2312426.501
  5.4,-5760359.608, 1454575.179, -2312426.609
  5.5,-5760359.467, 1454575.562, -2312426.718
  5.6,-5760359.310, 1454575.991, -2312426.839
  5.7,-5760359.152, 1454576.419, -2312426.961
  5.8,-5760358.995, 1454576.848, -2312427.082
  5.9,-5760358.824, 1454577.314, -2312427.215
  6.0,-5760358.648, 1454577.793, -2312427.351
  6.1,-5760358.472, 1454578.272, -2312427.487
  6.2,-5760358.314, 1454578.820, -2312427.535
  6.3,-5760358.160, 1454579.382, -2312427.564
  6.4,-5760358.006, 1454579.944, -2312427.594
  6.5,-5760357.850, 1454580.516, -2312427.624
  6.6,-5760357.692, 1454581.092, -2312427.654
  6.7,-5760357.535, 1454581.668, -2312427.684
  6.8,-5760357.377, 1454582.243, -2312427.714
  6.9,-5760357.220, 1454582.819, -2312427.744
  7.0,-5760357.062, 1454583.394, -2312427.774
  7.1,-5760356.899, 1454583.967, -2312427.820
  7.2,-5760356.729, 1454584.536, -2312427.884
  7.3,-5760356.560, 1454585.105, -2312427.949
  7.4,-5760356.390, 1454585.675, -2312428.013
  7.5,-5760356.220, 1454586.244, -2312428.077
  7.6,-5760356.050, 1454586.813, -2312428.141
  7.7,-5760355.881, 1454587.382, -2312428.206
  7.8,-5760355.711, 1454587.952, -2312428.270
  7.9,-5760355.541, 1454588.521, -2312428.334
  8.0,-5760355.372, 1454589.090, -2312428.398
  8.1,-5760355.202, 1454589.660, -2312428.463
  8.2,-5760355.043, 1454590.231, -2312428.500
  8.3,-5760354.928, 1454590.812, -2312428.420
  8.4,-5760354.814, 1454591.393, -2312428.340
  8.5,-5760354.699, 1454591.974, -2312428.260
  8.6,-5760354.585, 1454592.555, -2312428.181
  8.7,-5760354.470, 1454593.136, -2312428.101
  8.8,-5760354.356, 1454593.717, -2312428.021
  8.9,-5760354.241, 1454594.298, -2312427.941
  9.0,-5760354.127, 1454594.879, -2312427.862
  9.1,-5760354.012, 1454595.460, -2312427.782
  9.2,-5760353.881, 1454596.041, -2312427.744
  9.3,-5760353.747, 1454596.623, -2312427.712
  9.4,-5760353.613, 1454597.204, -2312427.680
  9.5,-5760353.479, 1454597.785, -2312427.648
  9.6,-5760353.345, 1454598.367, -2312427.616
  9.7,-5760353.211, 1454598.948, -2312427.584
  9.8,-5760353.077, 1454599.530, -2312427.552
  9.9,-5760352.943, 1454600.111, -2312427.520
 10.0,-5760352.810, 1454600.692, -2312427.489
 10.1,-5760352.706, 1454601.266, -2312427.386
 10.2,-5760352.639, 1454601.830, -2312427.201
 10.3,-5760352.571, 1454602.394, -2312427.015
 10.4,-5760352.504, 1454602.951, -2312426.832
 10.5,-5760352.438, 1454603.502, -2312426.652
 10.6,-5760352.372, 1454604.053, -2312426.471
 10.7,-5760352.306, 1454604.604, -2312426.290
 10.8,-5760352.240, 1454605.155, -2312426.109
 10.9,-5760352.174, 1454605.706, -2312425.928
 11.0,-5760352.108, 1454606.257, -2312425.747
 11.1,-5760352.083, 1454606.773, -2312425.488
 11.2,-5760352.087, 1454607.263, -2312425.171
 11.3,-5760352.091, 1454607.754, -2312424.855
 11.4,-5760352.095, 1454608.245, -2312424.539
 11.5,-5760352.099, 1454608.735, -2312424.222
 11.6,-5760352.103, 1454609.226, -2312423.906
 11.7,-5760352.106, 1454609.716, -2312423.590
 11.8,-5760352.110, 1454610.207, -2312423.273
 11.9,-5760352.114, 1454610.698, -2312422.957
 12.0,-5760352.135, 1454611.164, -2312422.615
 12.1,-5760352.221, 1454611.534, -2312422.172
 12.2,-5760352.306, 1454611.904, -2312421.728
 12.3,-5760352.392, 1454612.274, -2312421.284
